dataset,size,algorithm,milliseconds
random,26600,merge_sort,2.668
random,26600,merge_insertion_t15,2.24821
random,26700,merge_sort,2.91753
random,26700,merge_insertion_t15,2.25583
random,26800,merge_sort,2.62669
random,26800,merge_insertion_t15,2.31832
random,26900,merge_sort,2.6055
random,26900,merge_insertion_t15,2.32697
random,27000,merge_sort,2.73084
random,27000,merge_insertion_t15,2.28668
random,27100,merge_sort,2.69684
random,27100,merge_insertion_t15,2.48737
random,27200,merge_sort,2.66756
random,27200,merge_insertion_t15,2.28991
random,27300,merge_sort,2.74093
random,27300,merge_insertion_t15,2.27887
random,27400,merge_sort,2.69936
random,27400,merge_insertion_t15,2.30478
random,27500,merge_sort,2.80925
random,27500,merge_insertion_t15,2.32972
random,27600,merge_sort,2.71732
random,27600,merge_insertion_t15,2.42359
random,27700,merge_sort,2.91141
random,27700,merge_insertion_t15,2.35395
random,27800,merge_sort,2.74586
random,27800,merge_insertion_t15,2.36962
random,27900,merge_sort,2.78047
random,27900,merge_insertion_t15,2.3651
random,28000,merge_sort,2.77573
random,28000,merge_insertion_t15,2.36573
random,28100,merge_sort,2.79125
random,28100,merge_insertion_t15,2.34417
random,28200,merge_sort,2.77212
random,28200,merge_insertion_t15,2.39026
random,28300,merge_sort,2.80324
random,28300,merge_insertion_t15,2.46176
random,28400,merge_sort,2.95234
random,28400,merge_insertion_t15,2.381
random,28500,merge_sort,2.81046
random,28500,merge_insertion_t15,2.94434
random,28600,merge_sort,3.34139
random,28600,merge_insertion_t15,2.43626
random,28700,merge_sort,2.93096
random,28700,merge_insertion_t15,2.69765
random,28800,merge_sort,3.11889
random,28800,merge_insertion_t15,2.42235
random,28900,merge_sort,2.84691
random,28900,merge_insertion_t15,2.46336
random,29000,merge_sort,2.91034
random,29000,merge_insertion_t15,2.4457
random,29100,merge_sort,2.84461
random,29100,merge_insertion_t15,2.47282
random,29200,merge_sort,2.93761
random,29200,merge_insertion_t15,2.46597
random,29300,merge_sort,2.88957
random,29300,merge_insertion_t15,2.49519
random,29400,merge_sort,2.98209
random,29400,merge_insertion_t15,2.51647
random,29500,merge_sort,2.98771
random,29500,merge_insertion_t15,2.48726
random,29600,merge_sort,3.01862
random,29600,merge_insertion_t15,2.5373
random,29700,merge_sort,3.03198
random,29700,merge_insertion_t15,2.48112
random,29800,merge_sort,2.94747
random,29800,merge_insertion_t15,2.50703
random,29900,merge_sort,2.96692
random,29900,merge_insertion_t15,2.51
random,30000,merge_sort,3.05309
random,30000,merge_insertion_t15,2.53916
random,30100,merge_sort,2.98956
random,30100,merge_insertion_t15,2.57326
random,30200,merge_sort,3.02828
random,30200,merge_insertion_t15,2.52738
random,30300,merge_sort,3.02732
random,30300,merge_insertion_t15,2.67164
random,30400,merge_sort,3.07384
random,30400,merge_insertion_t15,2.55294
random,30500,merge_sort,3.06121
random,30500,merge_insertion_t15,2.59271
random,30600,merge_sort,3.10703
random,30600,merge_insertion_t15,2.62886
random,30700,merge_sort,3.14618
random,30700,merge_insertion_t15,2.61063
random,30800,merge_sort,3.1168
random,30800,merge_insertion_t15,2.6404
random,30900,merge_sort,3.10346
random,30900,merge_insertion_t15,2.63241
random,31000,merge_sort,3.20722
random,31000,merge_insertion_t15,2.6508
random,31100,merge_sort,3.15435
random,31100,merge_insertion_t15,2.67571
random,31200,merge_sort,3.14715
random,31200,merge_insertion_t15,2.75173
random,31300,merge_sort,3.12873
random,31300,merge_insertion_t15,2.70703
random,31400,merge_sort,3.19752
random,31400,merge_insertion_t15,2.73563
random,31500,merge_sort,3.15798
random,31500,merge_insertion_t15,2.74318
random,31600,merge_sort,3.19481
random,31600,merge_insertion_t15,2.77399
random,31700,merge_sort,3.1859
random,31700,merge_insertion_t15,2.78163
random,31800,merge_sort,3.20853
random,31800,merge_insertion_t15,2.79933
random,31900,merge_sort,3.24563
random,31900,merge_insertion_t15,2.77151
random,32000,merge_sort,3.20976
random,32000,merge_insertion_t15,2.82785
random,32100,merge_sort,3.28528
